Variable,SelectionMode,N_breaks,Break_1,Break_2,SSE,BIC,P1_start,P1_end,P1_mean,P2_start,P2_end,P2_mean
T2M,bic_up_to_2,1,2015,,0.7007432642965818,-75.27385926414307,2001,2014,9.273328239042526,2015,2024,9.795880637261256
GLASS_Albedo,bic_up_to_2,1,2015,,1.6379587286542924e-05,-331.2065226622316,2001,2014,0.2806402417134298,2015,2024,0.2784129051630323
