Variable,center_year,quadratic_coef,linear_coef,intercept,R2
T2M,2012.5,0.0016251778965107873,0.03772770691939587,9.413185297425855,0.7641755597734943
GLASS_Albedo,2012.5,-8.891436026928513e-06,-0.00011742936397545643,0.2801382327937212,0.4264233468584341
