Variable,n_breaks,break_years,SSE,BIC
T2M,0,,2.2935991494540975,-53.17230374394272
T2M,1,2015,0.7007432642965818,-75.27385926414307
T2M,2,"2015,2020",0.5975311110509567,-72.74179704447023
GLASS_Albedo,0,,4.5318917920841e-05,-313.13810206212764
GLASS_Albedo,1,2015,1.6379587286542924e-05,-331.2065226622316
GLASS_Albedo,2,"2009,2015",1.3949382799445984e-05,-328.70482984324286
