Product,Residual
GLASS,-0.034661511369992126
GLASS,-0.013598808306575005
GLASS,-0.031522762652241604
GLASS,-0.008337594404303011
GLASS,-0.022274225212087995
GLASS,-0.033964435032881185
GLASS,-0.0225506255719147
GLASS,-0.051633574564004525
GLASS,-0.025069556710496627
GLASS,-0.018463303749748305
GLASS,-0.015089320305618298
GLASS,-0.046974143092968795
GLASS,-0.044341804906191995
GLASS,-0.058389035483270346
GLASS,-0.04766096671966713
GLASS,-0.020717143390116904
GLASS,-0.05682565989493413
GLASS,-0.012495528847543402
GLASS,-0.0456638017167893
GLASS,-0.016953756044407714
MODIS,-0.0641345478976258
MODIS,-0.04743068780314949
MODIS,-0.05199592995246591
MODIS,-0.026391185655676302
MODIS,-0.051808267093649274
MODIS,-0.05818537848380889
MODIS,-0.035493461260505704
MODIS,-0.08233871360495151
MODIS,-0.05478843259550631
MODIS,-0.03870273143548589
MODIS,-0.0275169930494156
MODIS,-0.0467232075384644
MODIS,-0.06853541962749027
MODIS,-0.08695402505007332
MODIS,-0.06875904401687782
MODIS,-0.038810565445361406
MODIS,-0.07877495112418223
MODIS,-0.012110020906297314
MODIS,-0.050502760099395805
MODIS,-0.025812854002018798
