Order,Region,DisplayRegion,Shapefile,ValidPixels,Mean,Median,P10,Q25,Q75,P90,PositiveFractionPercent
0,Plateau,Plateau,ROI_Plateau.shp,5476,0.7629203026332955,0.3789658397436142,-0.5827805399894714,-0.1866378933191299,1.4361295104026794,2.6453241109848022,65.70489408327246
1,I Boreal Arctic,Boreal-Arctic,Zone_I_Boreal_Arctic.shp,91264,-0.0995899788568356,-0.1287449598312378,-0.7569556891918182,-0.4350772053003311,0.1776762008666992,0.5749143540859221,37.85172685834502
2,II MidLat Arid,Mid-latitude arid,Zone_II_MidLat_Arid.shp,68415,0.5341593174590509,0.473938524723053,-1.2068270921707154,-0.3305283039808273,1.4283755421638489,2.4183975219726563,65.18453555506834
3,SiberianTaiga,Siberian taiga,ROI_SiberianTaiga.shp,26774,-0.1417475607879031,-0.2125910893082618,-0.7569700360298156,-0.5115922093391418,0.155880905687809,0.5757520377635956,34.0815716740121
4,Greenland,Greenland,ROI_Greenland.shp,10432,-0.0159343818538993,-0.0008272612467408,-0.3681221216917036,-0.1149478405714035,0.1791014522314071,0.2927007585763931,49.82745398773007
5,Sahelian,Sahel,ROI_Sahelian.shp,4945,0.9667932964956032,0.5757296681404114,-1.405952739715576,-0.1243457794189453,1.3591868877410889,4.286409854888918,70.09100101112234
6,Amazon,Amazon,ROI_Amazon.shp,10615,1.6060316809340769,1.7224366664886477,-0.7817090034484864,0.3922674208879471,2.91717529296875,3.80347456932068,83.19359397079604
7,III Tropical South,Tropical/Southern,Zone_III_Tropical_South.shp,178056,0.20118145618608,-0.0221761837601661,-1.0984991192817688,-0.3503283634781837,0.4247365891933441,2.13326096534729,47.48056791121894
