Region,DisplayRegion,T2M_C_per_decade,GLASS_albedo_x1e3_per_decade
Plateau,Plateau,0.42172598969714203,0.4621891802761904
I Boreal Arctic,Boreal-Arctic,0.5327786145284692,-5.3007940288697375
II MidLat Arid,Mid-latitude arid,0.4115093282598319,-0.17384483406414358
SiberianTaiga,Siberian taiga,0.6205215135433224,-4.577463206976004
Greenland,Greenland,0.20560765211581095,-12.584009527249071
Sahelian,Sahel,0.26429314471734033,-0.7349159007453832
Amazon,Amazon,0.2872003316100265,2.826789329106256
III Tropical South,Tropical/Southern,0.2911455690657646,0.1393803923701253
