Order,Region,Shapefile,N,Mean,Median,Q25,Q75,P10,P90,Negative_fraction_percent
0,Plateau,ROI_Plateau.shp,5476,-0.2723344677555808,-0.2885826826095581,-0.5109357237815857,-0.060578815639019,-0.6605794727802277,0.1469139531254768,80.36888239590942
1,I Boreal Arctic,Zone_I_Boreal_Arctic.shp,91267,-0.3824026151972679,-0.4159301817417145,-0.5598072409629822,-0.2325636968016624,-0.6512101769447327,-0.0702134504914283,93.58366112614635
2,II MidLat Arid,Zone_II_MidLat_Arid.shp,68415,-0.0939733853389541,-0.1379804909229278,-0.4686361402273178,0.2829036265611648,-0.6303892493247986,0.5079419255256653,58.09544690491851
3,SiberianTaiga,ROI_SiberianTaiga.shp,26787,-0.297818333169251,-0.32274329662323,-0.4723667204380035,-0.1475339904427528,-0.5788484454154968,0.0239399969577791,88.51308470526747
4,Greenland,ROI_Greenland.shp,10517,-0.2521901517039379,-0.2313106954097747,-0.3628908097743988,-0.1409024745225906,-0.4793862998485565,-0.0531288884580135,95.10316630217744
5,Sahelian,ROI_Sahelian.shp,4945,0.1005758513571329,0.0996633619070053,-0.0885846242308616,0.2823728919029236,-0.2478710800409317,0.4561428666114807,35.854398382204245
6,Amazon,ROI_Amazon.shp,10627,0.5092194215966062,0.5338717699050903,0.4060365855693817,0.6421470642089844,0.2612358510494232,0.7173556685447693,0.8563094005834196
7,III Tropical South,Zone_III_Tropical_South.shp,179496,0.0328069336073694,0.0097064604051411,-0.3043517172336578,0.3865246847271919,-0.491512656211853,0.5732948780059814,49.334247002718726
