Period,CO2 RF_z,SST anomaly_z,ONI_z,ONI lag 1_z,AOD_z,Snow_z
P1,-0.7313265426280359,-0.6997102640466747,-0.22194922322684613,-0.2509895499670553,0.37960687326314796,0.6128539139938126
P2,0.6469651726427699,0.5644780459254211,0.8257371358900913,0.7639778325832924,-0.4360264471608475,-0.4095641034263521
P3,1.4007491467157318,1.3947106934052678,-0.20427931085492218,-0.0612070926755373,-0.6268727979759667,-1.3064268557563505
