Feature,DisplayFeature,N,UnweightedMean,Median,PositiveFractionPercent
AlbedoLoss,Albedo loss,335413,0.06333928126854223,0.054243363440036774,80.11049064884187
Rn,Net radiation,335413,0.010554229535366432,0.006390571594238281,65.91843488475402
SM,Soil moisture,335413,0.016654428558734617,0.012579411268234253,72.86121885556017
LH,Latent heat,335413,0.015411344028599443,0.006749451160430908,56.491251084483906
SH,Sensible heat,335413,0.029495731566235268,0.01730489730834961,72.8260383467546
