Region,r,P,n
Greenland,-0.41618993120641434,0.04308375810542148,24
Plateau,-0.39388059879109727,0.056856935449786664,24
Sahel,0.1341217079742737,0.5320915229234403,24
Amazon,0.6864174129389817,0.00021242462479296537,24
