Variable,N,Mean,Median,P02,P98
T2M_mean_C,351749,-4.640312358037468,-1.0303090810775757,-49.4076106262207,28.530261230468746
GLASS_albedo_mean,351749,0.41936196606235665,0.32145440578460693,0.12041982144117355,0.7952324986457825
T2M_slope_C_per_year,351749,0.037689140095887814,0.03574474900960922,-0.02353547528386116,0.11574614167213422
GLASS_albedo_slope_per_year,351749,-0.0003908787148764865,-0.00019464181968942285,-0.002412776546552777,0.0009801766742020843
