Year,ONI_CrossYear_annual_control,ONI_local_annual_control,SST_anomaly_annual_control,SeaIce_annual_control,AOD_annual_control,Snow_annual_control,Phase,CO2_Global_ppm_annual_control,CO2_RF_annual_control,CO2_RF_ref2000_annual_control,CO2_RF_ref278ppm_annual_control,CO2_CT2025_PBL_ppm_annual_control,CO2_RF_CT2025_annual_control,ONI_annual_control,ONI_Lag1_annual_control,AOD_annual_control_from_spatial,Snow_annual_control_from_spatial,SST_annual_control_from_spatial,SST_landfill_annual_control_from_spatial,SST_OceanRaw_annual_control_from_spatial,SST_landfill_method,T2M_C,CO2 RF_z,SST anomaly_z,ONI_z,ONI lag 1_z,AOD_z,Snow_z,T2M_z,Period
2001,-0.4058333333333333,-0.3083333333333334,0.0092272835477155,0.731923403644604,0.1649913161537083,0.2985846068022676,P1,370.56,-0.1325139404291741,0.0230051873684861,1.537559297708572,374.0015974862956,-0.1296620371626949,-0.3083333333333333,-0.8358333333333333,0.1905500825686317,0.1470991148175338,-0.0393611826002597,-0.0393611826002597,0.0478235147893428,nearest_valid_ocean_to_land_mask,9.060072898864746,-1.6276858657377182,-1.1697910919357388,-0.5964722775646217,-1.3806566295765792,-1.1806196084218838,1.8991971225541588,-1.3403091250757868,P1
2002,0.2466666666666666,0.6308333333333332,0.0275208886710766,0.7357819828878563,0.173430751513351,0.2885209891803784,P1,372.58,-0.1034291741232954,0.0520899536743643,1.566644064014451,375.68442154684345,-0.1055970177395667,0.6308333333333334,-0.3083333333333333,0.2080965034353253,0.141604805443131,-0.031816266477108,-0.031816266477108,0.0554519146680831,nearest_valid_ocean_to_land_mask,9.246111869812012,-1.4889738749950914,-1.1325971963024757,1.045435127642776,-0.487764223270871,1.0249852988503827,0.0085149824673459,-0.7389320415311292,P1
2003,0.4733333333333333,0.2508333333333333,0.0844258534563251,0.7333405300177942,0.1762882615066444,0.2892848234768209,P1,375.15,-0.0666523853268577,0.0888667424708018,1.603420852810888,379.4329403035504,-0.052935283057399,0.2508333333333333,0.6308333333333334,0.2084298177319569,0.1414558622434884,-0.0348061434924602,-0.0348061434924602,0.0372381322085857,nearest_valid_ocean_to_land_mask,9.191067695617676,-1.3135768464123323,-1.1473362831061138,0.3810963727407587,1.1019510088089604,1.0668832821428131,-0.0427388200148348,-0.9168641423945392,P1
2004,0.3608333333333333,0.4466666666666666,0.0381906832900215,0.7469482116467828,0.1712304652766192,0.2946768690732353,P1,376.95,-0.0410440396639015,0.1144750881337579,1.6290291984738443,379.8159532904553,-0.0470994705798935,0.4466666666666667,0.2508333333333333,0.1993772164373192,0.1449330126653062,-0.0688526928424835,-0.0688526928424835,-0.0124512910842895,nearest_valid_ocean_to_land_mask,9.02216911315918,-1.1914447113565991,-1.3151743057597762,0.7234639328328073,0.4587299388636158,-0.0710389181010146,1.153805777847532,-1.4628343572185536,P1
2005,0.3508333333333334,0.0408333333333333,0.1238990026208135,0.7767993822622504,0.1732822308949823,0.2905689198705076,P1,378.97,-0.0124509988026969,0.1430681289949631,1.6576222393350488,381.4236733723913,-0.0244352563332331,0.0408333333333333,0.4466666666666667,0.1959854599640473,0.1431258114135702,0.1059166342020034,0.1059166342020034,0.2054397761821746,nearest_valid_ocean_to_land_mask,9.4124116897583,-1.055077873214205,-0.4536203793957855,0.0139617976633281,0.7902144814889579,-0.4973865350056751,0.5319181305813663,-0.2013624118773004,P1
2006,-0.2908333333333333,0.0716666666666666,0.0953337936215784,0.7910625829299942,0.1743194068874692,0.2887770740015336,P1,381.15,0.0182363452407577,0.1737554730384178,1.6883095833785042,385.2910573017232,0.0291864317884361,0.0716666666666666,0.0408333333333333,0.2021553827230449,0.1427813812757563,0.0919347256422042,0.0919347256422042,0.1524780094623565,nearest_valid_ocean_to_land_mask,9.263792037963867,-0.90872281785276,-0.5225464799963273,0.0678664773373952,0.1032656633675044,0.2781797196809031,0.4133940603667771,-0.6817803173219266,P1
2007,-0.0166666666666666,-0.6075,0.0665616802517959,0.8201751632846712,0.1789722709022256,0.2881573594767857,P1,382.9,0.0427439465027262,0.1982630743003865,1.7128171846404727,386.0039879153184,0.0394187576148088,-0.6075,0.0716666666666666,0.2025307943235741,0.1415586264767443,0.1028903648257255,0.1028903648257255,0.1191352307796478,nearest_valid_ocean_to_land_mask,9.44802951812744,-0.7918403879366174,-0.4685388682831614,-1.119493358726517,0.1554568466744731,0.3253693815877289,-0.0073759586947531,-0.0862266119007541,P1
2008,-1.0158333333333334,-0.7816666666666667,0.032065958414297,0.8181214859115924,0.1797160076392841,0.2912689179485327,P1,385.02,0.0722835569164076,0.2278026847140678,1.742356795054154,387.8895681868828,0.0654313594276236,-0.7816666666666666,-0.6075,0.2034856055946744,0.1431143714757592,-0.0020930541213601,-0.0020930541213601,0.0198271442204713,nearest_valid_ocean_to_land_mask,9.132973670959473,-0.6509591402363312,-0.9860717690876256,-1.4239819547232748,-0.9941597586006486,0.4453902360433048,0.5279814599956645,-1.1046549850466665,P1
2009,-0.1816666666666666,0.2816666666666667,0.0958722944779601,0.8077886708428477,0.1809062948799782,0.2914369846013576,P1,386.5,0.0928092975643451,0.2483284253620049,1.7628825357020916,389.7903034447905,0.0914178846245557,0.2816666666666667,-0.7816666666666666,0.203645849961096,0.1446057383290079,0.0889337733387947,0.0889337733387947,0.0584914460778236,nearest_valid_ocean_to_land_mask,9.23388385772705,-0.5530671263621546,-0.5373401642403332,0.435001052414826,-1.2889694156589313,0.4655331337674261,1.0411853008444074,-0.7784594921924591,P1
2010,0.2541666666666666,-0.475,0.1124809419069513,0.8135203919154427,0.1790045476625902,0.2881549896980302,P1,388.75,0.1238638833072706,0.2793830111049306,1.7939371214450166,392.1786768501005,0.1242055467390425,-0.475,0.2816666666666667,0.2050507037009585,0.1419717559525772,0.2174284607172012,0.2174284607172012,0.2810005247592926,nearest_valid_ocean_to_land_mask,9.446535110473633,-0.4049606102297481,0.09609537218878,-0.8878489244514715,0.5109211221705846,0.6421248345012286,0.1347886826229856,-0.0910573337215489,P1
2011,-0.935,-0.775,0.0411227586432547,0.8056413349279552,0.186401534685692,0.2927684409278701,P1,390.62,0.1495372328041321,0.3050563606017921,1.8196104709418783,394.61098952068727,0.1573132907482057,-0.775,-0.475,0.2107566977258899,0.1455800604210352,0.0368559956550598,0.0368559956550598,0.0558889806270599,nearest_valid_ocean_to_land_mask,9.22265625,-0.2825184568258496,-0.7940660703160136,-1.4123268888478009,-0.7698787276328641,1.359374723687688,1.3764655431020203,-0.8147531029112111,P1
2012,-0.3333333333333333,-0.0633333333333333,0.0994128992989561,0.7841947452096115,0.1850251358086077,0.2897769950561272,P1,392.65,0.1772684731590721,0.332787600956732,1.847341711296819,396.5916820267891,0.1840591944352594,-0.0633333333333333,-0.775,0.2151671217773263,0.1434513440099999,0.1174975484609603,0.1174975484609603,0.2218921929597854,nearest_valid_ocean_to_land_mask,9.240816116333008,-0.1502617450152219,-0.3965303721306703,-0.1681486066409527,-1.2776848354844517,1.9137700049193545,0.643939246274842,-0.7560507385770163,P1
2013,-0.1741666666666667,-0.2341666666666666,0.1194430626715086,0.7779300167342736,0.1755318642052234,0.2909474190351145,P1,395.4,0.2146076260577083,0.3701267538553683,1.8846808641954549,399.3624266452306,0.2212168297467757,-0.2341666666666666,-0.0633333333333333,0.1993729422303425,0.1439580730015261,0.0420707799494266,0.0420707799494266,0.1737598627805709,nearest_valid_ocean_to_land_mask,9.364543914794922,0.0278173282956193,-0.7683589398948422,-0.4668096696999736,-0.073055901858741,-0.0715761907422077,0.818313019001635,-0.3560965665368024,P1
2014,0.0049999999999999,0.205,0.1974801216920959,0.7796366819430268,0.1772377568410145,0.2906667357269066,P1,397.34,0.2407928083859035,0.3963119361835632,1.91086604652365,401.5604479360324,0.2506282422693017,0.205,-0.2341666666666666,0.1968676588666543,0.141814185931029,0.1573508232831955,0.1573508232831955,0.1884690821170807,nearest_valid_ocean_to_land_mask,9.31114387512207,0.1527005310865071,-0.2000671483933616,0.3009677948468751,-0.362223268829784,-0.386493137225977,0.0805662489642308,-0.528713948562267,P1
2015,1.0616666666666663,1.5483333333333331,0.2667324463890798,0.7644283542596294,0.188682677587692,0.2873135860408918,P2,399.65,0.2718058314026954,0.4273249592003547,1.941879069540441,403.55045892000464,0.2771140971870362,1.5483333333333331,0.205,0.2144160088277091,0.1410844946428906,0.3156070411205292,0.3156070411205292,0.3104087114334106,nearest_valid_ocean_to_land_mask,9.60212516784668,0.3006088249460532,0.5800827105951291,2.649463568754883,0.3811484501640677,1.819354259384826,-0.1705325138188868,0.4118926366804676,P2
2016,1.2191666666666665,0.4233333333333333,0.3007218435005803,0.7413002467405597,0.1760034595200233,0.2832381226460132,P2,403.09,0.3176590657206716,0.4731781935183317,1.9877323038584176,406.57349215707575,0.3170573874195881,0.4233333333333333,1.5483333333333331,0.1929965158744439,0.1368628598090593,0.4626100361347198,0.4626100361347198,0.535311758518219,nearest_valid_ocean_to_land_mask,9.827744483947754,0.5192935256358867,1.304757970742486,0.6826712022686481,2.654991355321732,-0.8731001806361246,-1.6232664314754277,1.1412144858464928,P2
2017,-0.0699999999999999,-0.115,0.2672640502035017,0.7552700697151118,0.1718957531152861,0.289131244606805,P2,405.22,0.3458549964316731,0.5013741242293336,2.01592823456942,408.919633099055,0.3478414832680954,-0.1149999999999999,0.4233333333333333,0.1884369817643324,0.1413576904952433,0.3102732896804809,0.3102732896804809,0.3209575712680816,nearest_valid_ocean_to_land_mask,9.673599243164062,0.6537664534439327,0.5537891122095642,-0.258475367175876,0.7507184508782787,-1.446238764541086,-0.0765213317774362,0.6429349325207447,P2
2018,-0.3166666666666666,0.0941666666666666,0.2186588716109743,0.7875697443753277,0.1760146385374163,0.2893475898230359,P2,407.61,0.377316770355575,0.5328358981532348,2.0473900084933208,410.22952570304943,0.3646686336573481,0.0941666666666666,-0.1149999999999999,0.1880203893679954,0.1424435913284698,0.2102501541376114,0.2102501541376114,0.1938185840845108,nearest_valid_ocean_to_land_mask,9.528225898742676,0.8038149443749668,0.0607087381444901,0.10720232466712,-0.1605113982109588,-1.4986048989609753,0.2971549888265294,0.1730108222758665,P2
2019,0.6641666666666668,0.5758333333333334,0.2841541783777193,0.7973453703927065,0.1832667282103872,0.2850852024625683,P2,410.07,0.4095079446721367,0.5650270724697968,2.079581182809884,413.56646912323833,0.4082209058132119,0.5750000000000001,0.0941666666666666,0.1984981174657464,0.1402007161118847,0.2634673714637756,0.2634673714637756,0.2273017615079879,nearest_valid_ocean_to_land_mask,9.757659912109377,0.9573421148130103,0.3230516979354363,0.9478239509356814,0.1935423047633422,-0.1815426510508774,-0.4746552288865389,0.9146638056366658,P2
2020,0.1483333333333334,-0.2716666666666666,0.3175760866406671,0.794304256159905,0.1822085873731576,0.2813840150331198,P3,412.44,0.4403392660934691,0.5958583938911293,2.110412504231216,415.8191545126908,0.4373485509101256,-0.2716666666666666,0.5750000000000001,0.1899155327592454,0.1361823344264509,0.4117567241191864,0.4117567241191864,0.4382558763027191,nearest_valid_ocean_to_land_mask,9.889862060546877,1.1043838316554966,1.0540682680554496,-0.5323694152495149,1.0074426498476927,-1.2603832356666735,-1.8574463982548397,1.3420115922905576,P3
2021,-0.7066666666666667,-0.635,0.2553799747204827,0.792551591102867,0.1780816408431069,0.2895867563134244,P3,414.7,0.4695750184173404,0.625094146215001,2.139648256555087,418.79807896142927,0.4754413895224612,-0.635,-0.2716666666666666,0.1997089816731254,0.1385903144750662,0.3406969010829925,0.3406969010829925,0.4198472499847412,nearest_valid_ocean_to_land_mask,9.60725212097168,1.2438159097080894,0.7037672708559843,-1.1675705054628471,-0.4256990323112324,-0.0293356535027361,-1.028820894781583,0.4284656810382363,P3
2022,-0.8533333333333334,-0.85,0.2946880558668789,0.7937793886053016,0.1778138078828409,0.2874430834768713,P3,417.08,0.5001913706967942,0.6557104984944541,2.17026460883454,420.66844983389257,0.4993764910443916,-0.85,-0.635,0.1851962497969741,0.1414489631286992,0.3291417062282562,0.3291417062282562,0.3593891859054565,nearest_valid_ocean_to_land_mask,9.61122226715088,1.3898323888950712,0.6468040515923151,-1.5434463799468832,-1.0407086518203774,-1.853602430593768,-0.0451129187823959,0.4412993089514472,P3
