Feature,N,UnweightedMean,Median,PositiveFractionPercent
AlbedoLoss,335413,0.06333928126089779,0.054243363440036774,80.11049064884187
Rn,335413,0.01055422953628151,0.006390571594238281,65.91843488475402
SM,335413,0.01665442855865687,0.012579411268234253,72.86121885556017
LH,335413,0.01541134402762623,0.006749451160430908,56.491251084483906
SH,335413,0.029495731566062423,0.01730489730834961,72.8260383467546
