Outcome,R2,Adj_R2
Rn,0.205335747046177,0.1692146446391851
LH,0.2138498008532475,0.1389783533154615
SH,0.3434314284962395,0.3135874025187959
AirTemp,0.6287709828014909,0.5934158383063948
VPD,0.8667628655698437,0.8607066321866548
SM,0.2589652339821642,0.1883904943614178
