Period,Metric,Delta_vs_P1
P2,Rn,0.26188212205094885
P2,SH,0.41489704489085355
P2,LH,-0.2237383998669955
P3,Rn,0.7312363123182593
P3,SH,0.4063361925516915
P3,LH,0.2228152371129184
