Period,StartYear,EndYear,N,Outcome,Predictor,Beta_std,SE,CI95_low,CI95_high,p_value,Significance,R2,Adj_R2,AIC,BIC,Df_resid,Path,PathLabel
Full Record,2001,2024,24,Rn,SurfaceAlbedo,-0.4531398758067722,0.1900555245368887,-0.8472909095501965,-0.0589888420633479,0.0261662970136907,*,0.205335747046177,0.1692146446391851,66.59299574918566,68.94910340988156,22.0,SurfaceAlbedo → Rn,Surface albedo → Rn
Full Record,2001,2024,24,LH,SM,0.3418253546949185,0.1978575193637016,-0.0696418818573069,0.753292591247144,0.0987336457100032,ns,0.2138498008532475,0.1389783533154615,68.33447171189971,71.86863320294354,21.0,SM → LH,SM → LH
Full Record,2001,2024,24,LH,Rn,0.3910344026351021,0.1978575193637016,-0.0204328339171233,0.8025016391873274,0.0613979891563901,ns,0.2138498008532475,0.1389783533154615,68.33447171189971,71.86863320294354,21.0,Rn → LH,Rn → LH
Full Record,2001,2024,24,SH,Rn,0.5860302283127032,0.1727542357727984,0.2277598713771562,0.9443005852482502,0.0026191328023867,**,0.3434314284962395,0.3135874025187959,62.01157422005189,64.36768188074778,22.0,Rn → SH,Rn → SH
Full Record,2001,2024,24,AirTemp,SH,0.9330721375827976,0.1615018745162805,0.5972106033892711,1.2689336717763244,9.810370708519064e-06,***,0.6287709828014909,0.5934158383063948,50.3265829587894,53.86074444983324,21.0,SH → AirTemp,SH → T2M
Full Record,2001,2024,24,AirTemp,LH,0.7264253248935632,0.1615018745162804,0.3905637907000368,1.0622868590870895,0.0001975903662772,***,0.6287709828014909,0.5934158383063948,50.3265829587894,53.86074444983324,21.0,LH → AirTemp,LH → T2M
Full Record,2001,2024,24,VPD,AirTemp,0.9310010019166703,0.0778218053195177,0.7696084557688531,1.0923935480644875,4.2167804658544445e-11,***,0.8667628655698437,0.8607066321866548,23.734055048627305,26.090162709323195,22.0,AirTemp → VPD,T2M → VPD
Full Record,2001,2024,24,SM,VPD,-0.7363492149149606,0.2981504669972226,-1.3563870538944027,-0.1163113759355185,0.0221796754413443,*,0.2589652339821642,0.1883904943614178,66.91606390381384,70.45022539485767,21.0,VPD → SM,VPD → SM
Full Record,2001,2024,24,SM,Rn,0.3627019744007159,0.2981504669972227,-0.2573358645787262,0.982739813380158,0.2372887893433503,ns,0.2589652339821642,0.1883904943614178,66.91606390381384,70.45022539485767,21.0,Rn → SM,Rn → SM
