Period,Metric,Delta_SD
P2,T2M,1.36176178470637
P2,Rn,0.6265914113888884
P2,SH,1.002142290112446
P2,LH,-0.5874740418745528
P2,VPD,1.3698162242379506
P2,EvaporativeFraction,-0.942250382735217
P3,T2M,2.022620463989103
P3,Rn,1.7495901950311998
P3,SH,0.9814644080351242
P3,LH,0.58505007640967
P3,VPD,2.0347775334659794
P3,EvaporativeFraction,-0.40885077577560436
