Year,AirTemp,SurfaceAlbedo,LH,SH,Rn,SM,VPD
2001,9.088363081666051,0.2793193889591734,42.06821190948198,28.109345142794528,70.6798322016205,0.24660619222479205,0.7660151592566139
2002,9.274292977054037,0.2798689030238612,41.43499968121044,29.082261681723214,71.05756216617628,0.24598510804057203,0.7924938109379985
2003,9.219459189540718,0.28134298278857767,41.69333376201884,28.744583134609403,70.9938367090672,0.24846649140534974,0.7841433565033772
2004,9.051440999560873,0.2812318098271739,41.779195891201596,28.782540921516823,70.97474444148244,0.2487022325415874,0.7826730570933399
2005,9.440384780189289,0.2800381324575618,41.416926400578056,29.41359970269248,71.4508837762821,0.24705071450459146,0.8024323366598239
2006,9.291774705128255,0.2803703085814407,41.86447599202195,28.831063418672983,71.22386495722564,0.24810212856182692,0.7862418171050009
2007,9.4757980312314,0.2795317243546972,41.71045325408849,28.930800634036938,71.13928916325081,0.24887487087048962,0.8013903350717304
2008,9.161276861632121,0.28053276117785025,41.211505623876896,28.93631434399213,70.69092625073198,0.2485334107506901,0.7936688455022389
2009,9.262224486171968,0.28154148983690275,41.21250409881579,29.291121526540458,71.01407312780529,0.2485438783946621,0.8030900009582006
2010,9.474254577563203,0.28054898856180943,42.17036413109083,28.4123272201127,71.17010502072536,0.2448577887276274,0.8064969129746986
2011,9.250421394404075,0.28143931690452634,41.86660847366038,28.379913889446776,70.79099991016577,0.24558490000150232,0.774074287493005
2012,9.268709923266334,0.28035622193868037,41.1571371914557,29.543861130953623,71.25121051504249,0.24338675702148888,0.8018062615822367
2013,9.392867374332258,0.2823292916023994,40.93830669738441,29.19371654909944,70.63779180649729,0.24517459087674612,0.8052794870597529
2014,9.339990342825844,0.28051315057527015,41.24109056943752,29.16780670139638,70.95453492710308,0.24691443490501674,0.8005057689541182
2015,9.631223320481835,0.2791800504872633,41.13260299003167,29.593111564759432,71.37748695810501,0.24201225554777045,0.8237339742220992
2016,9.856028094080651,0.2789646762961715,41.74763694445308,29.304642669073587,71.5241968859617,0.24297496475846656,0.8243474477883884
2017,9.701732071678943,0.2775864016288827,41.65436669794511,28.79298884947121,71.01166145032398,0.24427865589640488,0.8216553891378984
2018,9.55639816180005,0.2792916332677807,41.2411278743061,29.115986432842902,70.95278364098701,0.24494379362986818,0.8163179723588905
2019,9.785699609071042,0.27770656101324537,40.89945334234318,29.7944359134449,71.46051304971682,0.2437167830663866,0.833768202624487
2020,9.917480753363918,0.27730059240710025,41.571121598878754,29.12593888234983,71.32851895531883,0.2431163176247116,0.8300306321356251
2021,9.635250131236988,0.27758102664160766,41.466641911937074,29.14309381725606,71.24368375728206,0.24522122533460666,0.8390313937585052
2022,9.638732377449763,0.2785364495334622,41.6869946880099,29.265496220198873,71.47387027650642,0.2470655438095401,0.8198922528879723
2023,10.069964365563695,0.2780826247097816,41.76161412856867,29.73975009703471,72.32836150247594,0.2450570850476286,0.8492772877855452
2024,10.284292321984582,0.2798997967309092,42.3942167997658,29.24657059216496,72.29842518776232,0.24727434630408365,0.8569770854365131
