"Period","StartYear","EndYear","N","Outcome","Predictor","Beta_std","SE","CI95_low","CI95_high","p_value","Significance","R2","Adj_R2","AIC","BIC","Df_resid"
"Full Record","2001","2024","24","Rn","SurfaceAlbedo","-0.45313987580677223","0.19005552453688876","-0.8472909095501965","-0.05898884206334798","0.026166297013690706","*","0.20533574704617708","0.16921464463918512","66.59299574918566","68.94910340988156","22.0"
"Full Record","2001","2024","24","LH","SM","0.34182535469491854","0.19785751936370166","-0.06964188185730696","0.753292591247144","0.09873364571000323","ns","0.21384980085324756","0.1389783533154615","68.33447171189971","71.86863320294354","21.0"
"Full Record","2001","2024","24","LH","Rn","0.3910344026351021","0.1978575193637016","-0.020432833917123305","0.8025016391873274","0.06139798915639012","ns","0.21384980085324756","0.1389783533154615","68.33447171189971","71.86863320294354","21.0"
"Full Record","2001","2024","24","SH","Rn","0.5860302283127032","0.17275423577279844","0.22775987137715625","0.9443005852482502","0.002619132802386762","**","0.34343142849623953","0.3135874025187959","62.01157422005189","64.36768188074778","22.0"
"Full Record","2001","2024","24","AirTemp","SH","0.9330721375827977","0.16150187451628054","0.5972106033892711","1.2689336717763244","9.810370708519065e-06","***","0.6287709828014909","0.5934158383063948","50.3265829587894","53.86074444983324","21.0"
"Full Record","2001","2024","24","AirTemp","LH","0.7264253248935632","0.1615018745162804","0.39056379070003683","1.0622868590870895","0.00019759036627724937","***","0.6287709828014909","0.5934158383063948","50.3265829587894","53.86074444983324","21.0"
"Full Record","2001","2024","24","VPD","AirTemp","0.9310010019166703","0.07782180531951778","0.7696084557688531","1.0923935480644877","4.216780465854445e-11","***","0.8667628655698437","0.8607066321866548","23.734055048627305","26.090162709323195","22.0"
"Full Record","2001","2024","24","SM","VPD","-0.7363492149149606","0.29815046699722264","-1.3563870538944027","-0.11631137593551855","0.022179675441344325","*","0.2589652339821642","0.18839049436141786","66.91606390381384","70.45022539485767","21.0"
"Full Record","2001","2024","24","SM","Rn","0.36270197440071594","0.2981504669972227","-0.25733586457872626","0.9827398133801581","0.2372887893433503","ns","0.2589652339821642","0.18839049436141786","66.91606390381384","70.45022539485767","21.0"
