,min,mean,max,std
AirTemp,9.051440999560873,9.502835830469913,10.284292321984582,0.31579296703646376
SurfaceAlbedo,0.27730059240710025,0.27971226180442205,0.2823292916023994,0.0014037057093318935
LH,40.89945334234318,41.55503711052342,42.3942167997658,0.3822430483730742
SH,28.109345142794528,29.08088629317435,29.7944359134449,0.4163479434681711
Rn,70.63779180649729,71.20954819323401,72.32836150247594,0.425502122014956
SM,0.24201225554777045,0.24593518624360042,0.24887487087048962,0.002054353569434823
VPD,0.7660151592566139,0.8089726281370023,0.8569770854365131,0.023172829254708337
