Model,N_train,N_test,R2_train,R2_test,RMSE_train,RMSE_test,MAE_train,MAE_test
Model1_background_stripping,192000,48000,0.1713408260406559,0.1667161585181201,0.7550981640815735,0.7546594142913818,0.5605184435844421,0.5592337846755981
Model2_main_SHAP_core,192000,48000,0.2125116709704926,0.2005344523107904,0.6726881265640259,0.6742868423461914,0.5013241767883301,0.5033736824989319
