Feature,P1_MeanAbs_SHAP,P3_MeanAbs_SHAP,P1_ShareAbs_SHAP,P3_ShareAbs_SHAP,P3_minus_P1_MeanAbs_SHAP,P3_minus_P1_ShareAbs_SHAP
AlbedoLoss,0.0840404009142846,0.1328320268588414,0.2312106892019773,0.2744699533686678,0.0487916259445567,0.0432592641666905
Rn,0.0359424925050884,0.0464711421530681,0.098884445734788,0.0960230188559557,0.0105286496479796,-0.0028614268788323
SM,0.0529156977239859,0.0691405290205053,0.1455808730951296,0.1428646255342447,0.0162248312965193,-0.0027162475608848
LH,0.1094812437748455,0.122570762201846,0.3012031541078614,0.2532671689309806,0.0130895184270004,-0.0479359851768808
SH,0.0810999038618219,0.1129438937806193,0.2231208378602434,0.233375233310151,0.0318439899187973,0.0102543954499076
